image_filename,reference,image_entropy_total,image_entropy_r,image_entropy_g,image_entropy_b,text_entropy
1000092795.jpg,"Two young guys with shaggy hair look at their hands while hanging out in the yard. Two young, White males are outside near many bushes. Two men in green shirts are standing in a yard. A man in a blue shirt standing in a garden. Two friends enjoy time spent together.",7.6361476066874845,7.643539679526623,7.891274195591072,7.373628944944759,3.7240555835279343
10002456.jpg,Several men in hard hats are operating a giant pulley system. Workers look down from up above on a piece of equipment. Two men working on a machine wearing hard hats. Four men on top of a tall structure. Three men on a large rig.,6.186406057469495,6.226371190890852,6.169016315398275,6.1638306661193605,3.6808479367712925
1000268201.jpg,A child in a pink dress is climbing up a set of stairs in an entry way. A little girl in a pink dress going into a wooden cabin. A little girl climbing the stairs to her playhouse. A little girl climbing into a wooden playhouse. A girl going into a wooden building.,7.513146206295803,7.749352094639516,7.554752114679597,7.2353344095682965,3.7740161470153097
1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window. A man in a blue shirt is standing on a ladder cleaning a window. A man on a ladder cleans the window of a tall building. Man in blue shirt and jeans on ladder cleaning windows A man on a ladder cleans a window,7.750776142803502,7.712263496081178,7.785290895383357,7.754774036945969,3.7069578432504193
1000366164.jpg,"Two men, one in a gray shirt, one in a black shirt, standing near a stove. Two guy cooking and joking around with the camera. Two men in a kitchen cooking food on a stove. Two men are at the stove preparing food. Two men are cooking a meal.",7.700414020251277,7.779528392632621,7.717256918226767,7.604456749894447,3.7451345409603625
1000523639.jpg,Two people in the photo are playing the guitar and the other is poking at him. A man in green holds a guitar while the other man observes his shirt. A man is fixing the guitar players costume. A guy stitching up another man's coat. The two boys playing guitar,7.157786871439856,7.542869292616611,7.14789144971415,6.782599871988806,3.8589962807874123
1000919630.jpg,A man sits in a chair while holding a large stuffed animal of a lion. A man is sitting on a chair holding a large stuffed animal. A man completes the finishing touches on a stuffed lion. A man holds a large stuffed lion toy. A man is smiling at a stuffed lion,6.919274873195708,7.436023744515198,7.011997100511685,6.309803774560244,3.738039616472527
10010052.jpg,"A girl is on rollerskates talking on her cellphone standing in a parking lot. A trendy girl talking on her cellphone while gliding slowly down the street. A young adult wearing rollerblades, holding a cellular phone to her ear. There is a young girl on her cellphone while skating. Woman talking on cellphone and wearing rollerskates.",7.606776606343772,7.537655558828889,7.63305495777682,7.649619302425606,3.85124383101941
1001465944.jpg,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman. Three people are standing outside near large pipes and a metal railing. A young woman walks past two young people dressed in hip black outfits. A woman with a large purse is walking by a gate. Several people standing outside a building.,7.5295174937290215,7.506020533518726,7.580166899128459,7.502365048539881,3.851326742927978
1001545525.jpg,"Two men in Germany jumping over a rail at the same time without shirts. Two youths are jumping over a roadside railing, at night. Boys dancing on poles in the middle of the night. Two men with no shirts jumping over a rail. Two guys jumping over a gate together",5.829917828028169,6.12718659367019,5.864932160377951,5.4976347300363635,3.8989776890836105
1001573224.jpg,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window. Ballet dancers in a studio practice jumping with wonderful form. Five girls are leaping simultaneously in a dance practice room. Five girls dancing and bending feet in ballet class. A ballet class of five girls jumping in sequence.,7.4542267633214925,7.338644317937659,7.789736720763369,7.234299251263448,3.9827154361639763
1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs. Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them. Four guys three wearing hats one not are jumping at the top of a staircase. Four men with excited faces are jumping down from the top of stairs. Four people are jumping from the top of a flight of stairs.,7.24925832563624,7.28214388600482,7.233693266777744,7.231937824126156,3.9562248357449716
1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street. A black dog and a tri-colored dog playing with each other on the road. Two dogs of different breeds looking at each other on the road. Two dogs on pavement moving toward each other. A black dog and a spotted dog are fighting,7.459809247782779,7.4699860287296165,7.456493423928681,7.452948290690039,3.81348254285941
1001896054.jpg,"A man with reflective safety clothes and ear protection drives a John Deere tractor on a road. John Deere tractors cruises down a street, while the driver wears easy to see clothing. A man in a neon green and orange uniform is driving on a green tractor. A man in a tractor wearing headphones driving down a paved street. A man driving a John Deere tractor on a main road in the country.",7.3793788815385435,7.365409349405919,7.533815264048714,7.238912031160998,3.7344454524382527
100197432.jpg,Some women are standing in front of a bus with buildings behind it. Several women stand on a city street with tall buildings. A group of women are standing in front of a bus. Several women wait outside in a city. Women are standing outside,7.7049859586294005,7.759268401410213,7.698186832001025,7.657502642476965,3.812979778744686
100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter. A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake. A woman wearing glasses sprinkles powdered sugar onto her bundt cake. Girl in black jacket sifting powdered sugar over a chocolate cake. A standing woman holds a pan over a cake.,7.323223136785667,7.359802092936197,7.342503966011915,7.267363351408887,3.967515282353226
1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it. A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl. There is a girl with pigtails sitting in front of a rainbow painting. A little girl is sitting in front of a large painted rainbow. Young girl with pigtails painting outside in the grass.,7.2984136986595445,7.08872555145718,7.4126114610513865,7.393904083470067,3.7583112207839173
1003163366.jpg,A man sleeping on a bench outside with a white and black dog sitting next to him. A man lays on the bench to which a white dog is also tied. Man laying on bench holding leash of dog sitting on ground A shirtless man lies on a park bench with his dog. A man lays on a bench while his dog sits by him.,7.810806858972845,7.750711196933857,7.841617040372168,7.840092339612512,3.816586888214988
1003420127.jpg,"A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments. Five musicians, a man and four women, practicing sheet music (using flutes ) in a living room. People gathered in a circle, some holding musical instruments. People gathered in a room to talk about their favorite tunes. Five people are sitting in a circle with instruments.",7.485817445536266,7.891381184622121,7.6273274538238045,6.93874369816287,3.9680433337244074
1003428081.jpg,"Two women, both wearing glasses, are playing clarinets and an elderly woman is playing a stringed instrument. At least four instrumentalists play clarinets and other instruments in a curtained room. Four women in a living room, three of which are clearly playing a musical instrument. A bunch of elderly women play their clarinets together as they read off sheet music. A group of four women, are performing music on their instruments.",7.098334214504393,7.644262545636735,7.165353055923878,6.485387041952568,3.96280549923616
100444898.jpg,A person in gray stands alone on a structure outdoors in the dark. A large structure has broken and is laying in a roadway. A man in a gray coat is standing on a washed out bridge. A man stands on wooden supports and surveys damage. A man in a jacket and jeans standing on a bridge.,4.679511889693089,4.671264221235296,4.632641096875189,4.734630350968781,3.707277508480966
1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station. A large crowd of people stand outside in front of the entrance to a Metro station. A group of people are walking through a city street. A crowd is portrayed near a metro station. Crowd standing outside a metro area.,7.593332932367082,7.618214706452701,7.522240428653323,7.639543661995224,3.779445898404412
100577935.jpg,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back. A man is putting a tattoo on a another's man upper back. A man with a black shirt giving another man a tattoo. A man is putting tattoo on his back. A man getting a tattoo on his back.,6.034132699372755,6.658845259520842,6.077050724523785,5.36650211407364,3.651755884787376
1006452823.jpg,"Two children, a girl and a boy are practicing their writing. Two children sit on a small seesaw in the sand. Two children sitting on a teeter totter. 2 kids playing on a seesaw Two kids sit on a seesaw.",7.125385513090617,7.126244228801683,7.2003431124220905,7.049569198048077,3.6447132911771147
100652400.jpg,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag. A man wearing a hard hat and a caution vest is standing in the street waving an orange flag. A man in bright vest and hard hat holds a flag on a street corner covered in spray paint A construction worker is standing in the street and holding a red flag. A man wearing a reflective vest and a hard hat holds a flag in the road,7.56270137930819,7.414186931170592,7.689015989142439,7.584901217611539,3.802231830160771
1007129816.jpg,The man with pierced ears is wearing glasses and an orange hat. A man with glasses is wearing a beer can crocheted hat. A man with gauges and glasses is wearing a Blitz hat. A man in an orange hat starring at something. A man wears an orange hat and glasses.,7.717982836771175,7.7981433018065385,7.710524276303512,7.645280932203476,3.5737718527029556
100716317.jpg,"A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings. A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene. A person with gray hair is painting in a public place surrounded by others who are also painting. Lady in blue coat with white and brown hat standing in front of a painting. Passerby admiring painting at an outdoor art fair.",7.578111661992086,7.622825455053394,7.543354275500258,7.5681552554226075,3.883574420871315
1007205537.jpg,A man stands on one foot while holding on to a waste basket. A man in green pants and blue shirt pushing a cart. Janitor pushing dolly outside with janitor tools. A man in green pants walking down the road. A man in bright pants is pushing a cart.,7.648703904084367,7.646146847299772,7.7201825655833325,7.579782299369994,3.7060731543512078
1007320043.jpg,A small child grips onto the red ropes at the playground. A little girl in pink climbs a rope bridge at the park. The small child climbs on a red ropes on a playground. A little girl climbing on red roping. A child playing on a rope net.,7.747630890445673,7.8468663285636335,7.747717471269337,7.648308871504048,3.78422022132174
100759042.jpg,Young man in jacket holding a toothpick with something on the end of it A young man traveling on bus with a piece of flower in his hands. A teen holding an unknown object for photographers. A young man on a train holds an origami crane. You know i am looking like Justin Bieber.,7.126027718222531,7.1068738102727895,7.141789864291022,7.12941948010378,3.871387483318225
10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net. A young man in a black and yellow jacket is gazing at something and smiling. A young man holding a pole vault looks determined. A man is holding a pole and smiling. A smiling man looking at the sky.,6.172998289512759,6.408091724087422,6.254345196261895,5.856557948188964,3.7848235611818395
10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug. A man is wearing a ball cap and holding a coffee cup between to urinals. A man is posing next to a urinal with a cup of coffee. A man holds a coffee cup while in the bathroom. A man standing at a urinal with a coffee cup.,6.658497359760531,5.747646999712353,7.011387860359662,7.2164572192095795,3.889826362831382
100845130.jpg,Five people walking with a multicolored sky in the background. Four people walking through the sunset in clear blue skies. Four people walking with the sun setting behind them. Four silhouettes decorate the horizon's sunset. A group of people walking as the sun sets.,6.999169288249405,7.248606924655222,6.833208836536174,6.915692103556819,3.957241783416157
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer. A man is sitting at a table with a drink. A man is sitting at a table with a beer. A dark-haired man sitting drinking. A old man having a beer alone.,7.08961202620421,7.097623432478089,7.194700476234081,6.97651216990046,3.529900710686691
1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence. A Boston Terrier is running on lush green grass in front of a white fence. A black and white dog is running through the grass. A dog runs on the green grass near a wooden fence. A Boston terrier is running in the grass.,6.802733345969579,7.486685497562327,7.4286318023213225,5.492882738025089,3.6951226509123423
1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog. A trained police dog sits next to his handler in front of the police van. A security man with his watch dog is looking for something. A policeman is standing with a German Shepherd dog. A policeman stops on a street with a search dog.,7.670175830760036,7.6113546073103135,7.722266418343898,7.676906466625897,3.841651073473957
101001624.jpg,"The ""white out"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood. A young boy rides a bike down a snow covered road. A boy in the snow riding his bike down the street. A person riding a bike on a snowy road. A person riding a bike in snow.",6.294586773870971,6.29323309424805,6.281013762279803,6.309513465085057,3.7162482822594938
1010031975.jpg,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van. Small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking. Five men in white short-sleeved shirts and ties stand in a parking lot. A group of men wearing ties talk while standing on the street. Colleges stop to take a break from there business meetings.",7.289198688490757,7.309250328347861,7.319762049515413,7.238583687608994,3.9535039417367592
